Date,Close/Last,Volume,Open,High,Low,Day
02/25/2020,98.637,124381880,101.321,101.73,97.921,0
02/26/2020,98.9795,104808040,98.514,100.7335,98.0225,1
02/27/2020,94.215,162879860,96.719,98.75,94.1381,2
02/28/2020,94.1875,189875940,90.7315,94.488,90.5564,3
03/02/2020,97.6975,135233020,95.3245,97.7255,93.5,4
03/03/2020,95.4495,150689820,98.7685,99.8165,94.4045,5
03/04/2020,98.7915,95458380,97.3285,98.9,96.1,6
03/05/2020,96.2015,94964200,96.65,98.036,95.5,7
03/06/2020,95.0545,105471600,93.75,95.5435,93.475,8
03/09/2020,90.0305,156264640,88.693,93.1385,88.0645,9
03/10/2020,94.591,142666200,93.544,94.7135,90.9085,10
03/11/2020,91.043,112936620,92.8925,93.566,90.075,11
03/12/2020,83.8305,226924200,86.099,88.25,83.75,12
03/13/2020,89.25,176194500,87.75,89.3155,84.031,13
03/16/2020,84.4575,178345300,82.0755,87.9726,81.3016,14
03/17/2020,90.392,218342600,88.7735,92.8888,84.462,15
03/18/2020,91.5,192904360,87.5,92.083,87.25,16
03/19/2020,94.0465,207998800,93,97.25,91.6325,17
03/20/2020,92.3045,196357000,96.3155,97.85,91.0365,18
03/23/2020,95.1415,156169780,91.3875,95.97,90.6,19
03/24/2020,97.005,142941600,97.5747,97.75,95.017,20
03/25/2020,94.292,129581460,96.0345,97.513,94.289,21
03/26/2020,97.7745,124702360,95.1,97.8245,94.4645,22
03/27/2020,95.005,107757940,96.543,96.9895,94.996,23
03/30/2020,98.1975,122521740,96.1415,98.6815,95.617,24
03/31/2020,97.486,102472520,98.2175,99.651,97.2005,25
04/01/2020,95.385,82437500,96.6485,97.248,94.65,26
04/02/2020,95.9415,86719700,95.082,96.3763,94.5,27
04/03/2020,95.3295,72197400,95.5575,96.3165,94.4575,28
04/06/2020,99.8795,115463620,96.8,99.926,96.501,29
04/07/2020,100.58,102279660,100.8555,101.786,99.881,30
04/08/2020,102.15,79546260,101.05,102.2,100.5575,31
04/09/2020,102.138,93112340,102.215,102.65,100.883,32
04/13/2020,108.4435,134334180,102,109,101.9,33
04/14/2020,114.166,161743860,110.0235,114.6,109.3105,34
04/15/2020,115.384,137331340,112.884,116.6685,112.25,35
04/16/2020,120.4095,240764000,117.3,123.0499,116.75,36
04/17/2020,118.75,158600200,118.6165,120,115.801,37
04/20/2020,119.6805,115413880,119.4975,122.249,119.3025,38
04/21/2020,116.406,149533580,120.8305,121.4155,113.983,39
04/22/2020,118.1745,84365900,118.45,119.7,117.55,40
04/23/2020,119.9725,101331040,119.999,121.211,119.104,41
04/24/2020,120.511,76635940,120.85,121.0217,119.1,42
04/27/2020,118.8,112912900,122.16,122.244,118.15,43
04/28/2020,115.704,105388920,118.605,118.675,115.3,44
04/29/2020,118.6355,91831860,116.5005,119.5945,115.5,45
04/30/2020,123.7,190692220,120.992,123.75,119.8005,46
05/01/2020,114.302,195452100,116.84,118.122,112.9095,47
05/04/2020,115.7995,97318520,112.819,116.349,112.819,48
05/05/2020,115.89,64849920,117,117.55,115.3563,49
05/06/2020,117.563,62356280,116.472,117.8725,116,50
05/07/2020,118.3805,67928220,118.739,118.8,117.1555,51
05/08/2020,118.9805,64224560,118.607,119.3622,117.85,52
05/11/2020,120.45,65184620,118.735,120.9833,118.6055,53
05/12/2020,117.8475,61498320,120.5925,120.95,117.75,54
05/13/2020,118.396,95658380,118.34,120.385,116.8902,55
05/14/2020,119.4425,72962560,118.0505,119.5685,117.6605,56
05/15/2020,120.489,84699020,118.426,120.55,117.8185,57
05/18/2020,121.313,87331440,120.2173,121.65,119.2005,58
05/19/2020,122.4665,86409960,121.4915,124.2498,121.4485,59
05/20/2020,124.897,79962860,123.8935,125.0005,123.3635,60
05/21/2020,122.337,102288060,125,126.2725,122.127,61
05/22/2020,121.844,57341580,122.7505,123.4925,121.5065,62
05/26/2020,121.093,71363060,122.9,123.1,120.703,63
05/27/2020,120.5195,101138900,120.2495,120.679,116.5,64
05/28/2020,120.055,63862720,119.2165,121.8485,118.9115,65
05/29/2020,122.1185,70586580,120.797,122.1185,119.9099,66
06/01/2020,123.552,58760640,122.4,123.8465,122.2085,67
06/02/2020,123.6205,50598060,123.35,123.6765,122.2655,68
06/03/2020,123.92,53420480,123.4005,124.4,123.0585,69
06/04/2020,123.03,58974200,123.8715,125.377,122.5005,70
06/05/2020,124.15,66128900,122.2255,124.4323,121.8565,71
06/08/2020,126.203,79413080,125.01,126.5,124.3668,72
06/09/2020,130.043,103519000,126.472,131.3215,126.25,73
06/10/2020,132.3725,98920620,132.25,136.1175,131.313,74
06/11/2020,127.898,116002140,130.175,133.569,126.8115,75
06/12/2020,127.251,108722540,130.0605,131.0738,125.1675,76
06/15/2020,128.634,77466700,126.33,129.2,125.4,77
06/16/2020,130.7635,71912980,131,131,128.8,78
06/17/2020,132.049,59186320,132.375,132.75,131.591,79
06/18/2020,132.699,49755480,132.3505,132.982,131.8055,80
06/19/2020,133.7505,115539260,133.904,134.8715,132.95,81
06/22/2020,135.691,64175600,134.225,135.75,133.45,82
06/23/2020,138.2205,84634140,136.301,139.1555,135.902,83
06/24/2020,136.72,90532100,139,139.8,136.05,84
06/25/2020,137.729,59373140,136.9775,137.8115,135.607,85
06/26/2020,134.6435,130015680,138.7528,139.1284,134.4,86
06/29/2020,134.019,84468440,134.5005,134.84,131.504,87
06/30/2020,137.941,75393720,134.2533,138.4815,133.7515,88
07/01/2020,143.935,127268780,137.8995,144.75,137.7,89
07/02/2020,144.515,131867740,145.6005,147.778,143.5551,90
07/06/2020,152.852,137612840,146.7485,152.994,146.5,91
07/07/2020,150.006,105150280,152.9275,153.4775,149.5,92
07/08/2020,154.0555,100752700,151.1305,154.1985,150.6215,93
07/09/2020,159.1315,127773180,155.7995,159.694,153.7001,94
07/10/2020,160,109719640,159.588,160.75,156.785,95
07/13/2020,155.2,154408400,162.553,167.2145,153.4195,96
07/14/2020,154.2,144638660,154.45,156.369,147.5,97
07/15/2020,150.4435,115777480,154.0115,154.9175,148.659,98
07/16/2020,149.995,127884920,148.553,151.6,145.9115,99
07/17/2020,148.0985,95226380,150.45,151.2,147.4225,100
07/20/2020,159.842,151963520,150.01,160.068,149.7009,101
07/21/2020,156.9145,122699300,161.6245,162.0288,155.286,102
07/22/2020,154.9955,82084500,156.25,157.5,153.263,103
07/23/2020,149.3275,113138120,154.9136,154.9136,148.5,104
07/24/2020,150.4455,112648260,146.5,151.579,144.4,105
07/27/2020,152.7605,83409840,153.1,154.9,150.7885,106
07/28/2020,150.0165,62533020,152.7135,153.8546,149.788,107
07/29/2020,151.6765,59481200,151.5495,151.958,149.8385,108
07/30/2020,152.594,122565300,150.7,154.6,150.25,109
07/31/2020,158.234,161667380,162.2,162.341,157.55,110
08/03/2020,155.5945,101493260,159.0255,159.2,155.2,111
08/04/2020,156.9415,93885880,155.0605,158.362,155.0605,112
08/05/2020,160.2515,78600500,157.1885,160.6793,156.365,113
08/06/2020,161.25,78812040,159.718,162.3735,158.2715,114
08/07/2020,158.373,78722540,161.2005,162.0405,157.0336,115
08/10/2020,157.408,63345480,158.5155,158.6255,155.076,116
08/11/2020,154.0335,74361140,155.66,157.961,153.65,117
08/12/2020,158.112,70544580,155.4,158.7193,155.071,118
08/13/2020,158.051,62980860,159.1495,160.8761,157.75,119
08/14/2020,157.401,55034460,158.909,158.9118,156,120
08/17/2020,159.1205,53824740,158.656,159.7485,157.7089,121
08/18/2020,165.6245,106919480,160.6,166,160.2909,122
08/19/2020,163.024,83702740,165.1505,165.795,162.8,123
08/20/2020,164.8685,66649560,162.6,165.631,161.9,124
08/21/2020,164.236,71517240,164.75,165.7198,163.7695,125
08/24/2020,165.373,93325160,165.5075,169.0158,162.878,126
08/25/2020,167.3245,79856840,164.7495,167.87,163.35,127
08/26/2020,172.0925,130174860,167.5555,172.5869,167.2284,128
08/27/2020,170,85295900,172.5025,172.65,168.9,129
08/28/2020,170.09,57939560,171.15,171.6685,169.325,130
08/31/2020,172.548,83717700,170.4495,174.75,170.25,131
09/01/2020,174.956,69528140,174.479,175.6935,173.35,132
09/02/2020,176.5725,78629520,177.35,177.6125,174.3343,133
09/03/2020,168.4,163222260,174.25,174.4205,165.15,134
09/04/2020,164.731,175635080,165.9,169.075,155.5565,135
09/08/2020,157.492,121884100,157.2,162.5423,156.5,136
09/09/2020,163.4305,103773500,160.1495,165.1588,159.25,137
09/10/2020,158.7555,106614820,165.361,167.4945,158.5275,138
09/11/2020,155.811,101879640,160.4345,160.867,154.199,139
09/14/2020,155.1485,90591920,158.6469,159.3695,154.8,140
09/15/2020,157.8065,80430700,156.808,158.751,155.446,141
09/16/2020,153.905,90623780,158.9995,159.3619,153.7075,142
09/17/2020,150.4365,128981000,150.4625,151.4716,148.6275,143
09/18/2020,147.7455,177851600,151.587,151.89,145.277,144
09/21/2020,148.0235,122358500,145.325,148.1,143.55,145
09/22/2020,156.4495,138976320,151.6918,156.6995,150.01,146
09/23/2020,149.993,113053300,156.0215,156.35,149.6188,147
09/24/2020,150.9895,110587840,148.8895,153.465,148.25,148
09/25/2020,154.7565,92304040,152.743,155.077,149.95,149
09/28/2020,158.7025,84483300,157.4425,158.752,155.8584,150
09/29/2020,157.244,70067960,158.7695,159.413,156.627,151
09/30/2020,157.4365,97922020,157.057,160.644,156.6995,152
10/01/2020,161.063,99438440,160.4,161.2,158.6,153
10/02/2020,156.25,112261960,157.6815,159.7898,156.15,154
10/05/2020,159.96,75506640,157.292,160.1265,157.0425,155
10/06/2020,154.998,101737140,158.25,159.1,154.5,156
10/07/2020,159.7845,86188780,156.75,160,156.6193,157
10/08/2020,159.5275,63482280,161.2495,161.6647,158.7495,158
10/09/2020,164.3325,98157420,160.5,164.4495,159.8915,159
10/12/2020,172.1465,167283960,167.497,174.812,166.9775,160
10/13/2020,172.1815,114893940,173.3995,174.619,171.2109,161
10/14/2020,168.1855,116578320,172.35,173.244,167,162
10/15/2020,166.9325,104468960,164.6005,167.794,164,163
10/16/2020,163.6355,129487060,168.1615,169.983,158,164
10/19/2020,160.3605,104472520,164.9805,166.45,159.6368,165
10/20/2020,160.8505,90193560,161.114,163.3,159.6005,166
10/21/2020,159.247,91854720,160.625,161.6938,158,167
10/22/2020,158.82,84240100,159.4935,159.9375,156.097,168
10/23/2020,160.22,69333740,159.55,160.2665,157,169
10/26/2020,160.352,118023020,159.937,164.149,157.665,170
10/27/2020,164.3165,85820940,161.247,164.583,160.565,171
10/28/2020,158.139,111766600,162.465,163.201,158.1235,172
10/29/2020,160.5505,131930580,160.0635,162.8625,158.2,173
10/30/2020,151.8075,167921620,157.8875,158.3502,150.95,174
11/02/2020,150.224,145147000,153.087,153.9853,147.506,175
11/03/2020,152.4205,97957600,150.9265,153.745,149.049,176
11/04/2020,162.058,136780820,157.9995,162.2425,156.9865,177
11/05/2020,166.1,115785700,165.9985,168.34,164.444,178
11/06/2020,165.5685,92946600,165.232,166.1,161.6,179
11/09/2020,157.187,143808120,161.5515,164.45,155.6053,180
11/10/2020,151.751,131819120,154.751,155.7,150.9741,181
11/11/2020,156.8695,87338460,153.089,156.9573,152.5,182
11/12/2020,155.514,87424160,157.9975,158.794,154.3025,183
11/13/2020,156.4405,75251740,156.1,157.0861,154.2695,184
11/16/2020,156.553,76173520,154.66,157.135,153.6343,185
11/17/2020,156.783,68894700,159.1773,159.4625,156.763,186
11/18/2020,155.273,58336720,156.7,157,155.255,187
11/19/2020,155.851,60205400,155.2655,156.25,154.046,188
11/20/2020,154.97,67602760,155.851,156.6445,154.9023,189
11/23/2020,154.9195,94177740,155.835,156.9873,153.273,190
11/24/2020,155.903,72042040,155.025,156.7125,154.3129,191
11/25/2020,159.2535,75808060,157.0935,159.9,157.013,192
11/27/2020,159.767,47857340,160.563,160.8095,159.5025,193
11/30/2020,158.402,81278320,160.424,161.4195,156.2775,194
12/01/2020,161.004,90887640,159.425,162.4475,157.859,195
12/02/2020,160.1765,62586080,161.0825,161.6,158.663,196
12/03/2020,159.3365,57840780,160.273,161.432,159.0655,197
12/04/2020,158.129,58272220,159.9105,159.9105,157.938,198
12/07/2020,157.9,55026320,157.824,159.038,157.0845,199
12/08/2020,158.8645,65726060,157.945,159.2065,156.001,200
12/09/2020,155.21,82016720,158.3945,158.7215,154.4,201
12/10/2020,155.0745,60603720,154.4495,157.105,153.8,202
12/11/2020,155.821,61293900,154.833,155.9335,153.641,203
12/14/2020,157.8485,83115880,157.15,159.5235,156.3,204
12/15/2020,158.256,66473720,159.0505,159.425,156.5245,205
12/16/2020,162.048,88552320,158.8005,162.35,158.184,206
12/17/2020,161.804,69486940,162.5,163.1755,161.05,207
12/18/2020,160.0825,119914260,162.1995,162.471,158.58,208
12/21/2020,160.309,76736920,160.0005,161.3483,158.3,209
12/22/2020,160.326,47635620,160.1422,161.1,159.004,210
12/23/2020,159.2635,41875740,160.25,160.5065,159.2085,211
12/24/2020,158.6345,29038340,159.695,160.1,158.45,212
12/28/2020,164.198,113735740,159.7,165.2,158.6345,213
12/29/2020,166.1,97458660,165.497,167.5325,164.0612,214
12/30/2020,164.2925,64186200,167.05,167.105,164.1235,215
12/31/2020,162.8465,59144120,163.75,164.1461,162.06,216
01/04/2021,159.3315,88228980,163.5,163.6,157.201,217
01/05/2021,160.9255,53110960,158.3005,161.169,158.253,218
01/06/2021,156.919,87896300,157.324,159.8755,156.558,219
01/07/2021,158.108,70290900,157.85,160.4271,157.75,220
01/08/2021,159.135,70754880,159,159.532,157.11,221
01/11/2021,155.7105,73381900,157.4005,157.8192,155.5,222
01/12/2021,156.0415,70291640,156,157.1071,154.3,223
01/13/2021,158.2945,66424880,156.422,159.4975,156.104,224
01/14/2021,156.3735,61418380,158.376,158.9,156.0295,225
01/15/2021,155.2125,84879900,156.151,157.1273,154.7585,226
01/19/2021,156.038,66102840,155.35,157.25,154.8,227
01/20/2021,163.169,106196700,159.0995,163.99,158.75,228
01/21/2021,165.3495,98901020,164.65,167.4275,164.4784,229
01/22/2021,164.6115,56438280,165.2155,166.0955,164.1582,230
01/25/2021,164.7,74995160,166.425,168.1945,162.1573,231
01/26/2021,166.3065,59104700,164.8178,166.9,164.1435,232
01/27/2021,161.629,93203160,167.0745,167.326,160.354,233
01/28/2021,161.881,62984560,161.752,165.084,161.4345,234
01/29/2021,160.31,85871120,161.5,161.8495,159.2275,235
02/01/2021,167.144,83204240,162.118,167.513,161.7513,236
02/02/2021,169,141972740,169,171.387,168.0563,237
02/03/2021,165.6265,141775620,171.2505,171.7,165.431,238
02/04/2021,166.55,73413220,166.5,167.35,163.8875,239
02/05/2021,167.6075,72416160,165.95,168.85,165.1355,240
02/08/2021,166.147,65147820,167.925,168.25,165.2,241
02/09/2021,165.25,44070520,165.6245,166.9,164.892,242
02/10/2021,164.329,63031000,165.7,165.8977,162.7,243
02/11/2021,163.1065,46028340,164.6,164.6,162.403,244
02/12/2021,163.8855,46706780,162.5,164.0125,161.6655,245
02/16/2021,163.4475,51494420,162.7025,165.415,162.6796,246
02/17/2021,165.432,66041980,163.18,166.0455,162.975,247
02/18/2021,166.4115,60672140,164.121,166.9,163.697,248
02/19/2021,162.495,86103680,166.4115,166.675,162.2875,249
02/22/2021,159.037,70313580,160.4065,161.616,158.613,250
02/23/2021,159.725,93544440,156.3515,160.2365,154.68,251
02/24/2021,157.9765,60225500,158.3375,158.5615,156.269,252
02/25/2021,152.858,90676020,156.837,158.913,152.388,253
02/26/2021,154.6465,85518600,154.76,156.122,151.835,254
03/01/2021,157.307,54679260,156.3945,157.478,154.8995,255
03/02/2021,154.7265,51915240,157.1735,158.176,154.356,256
03/03/2021,150.25,79774500,154.059,155.3888,149.75,257
03/04/2021,148.8785,109631560,150.6,152.9065,147.2715,258
03/05/2021,150.023,107771020,150.25,150.45,144.05,259
03/08/2021,147.5975,83700160,150.75,153.2295,147.5655,260
03/09/2021,153.1425,80600640,150.8995,154.548,150.2574,261
03/10/2021,152.882,60249780,154.9225,155.823,151.5025,262
03/11/2021,155.6795,55527820,155.2005,156.5892,154.1465,263
03/12/2021,154.4745,48437760,153.75,154.949,152.275,264
03/15/2021,154.084,58371840,153.7285,154.112,151.6045,265
03/16/2021,154.593,50775280,155.2485,156.4455,153.793,266
03/17/2021,156.7865,62371680,153.661,158.6525,153.511,267
03/18/2021,151.3995,73140540,155.05,155.8315,151.25,268
03/19/2021,153.748,92507080,151.4615,153.8643,150.8315,269
03/22/2021,155.5435,58043580,153.3925,156.329,153.0025,270
03/23/2021,156.875,76345260,156.35,159.1,156.0425,271
03/24/2021,154.3535,59179620,157.552,158.0155,154.2575,272
03/25/2021,152.313,71269380,153.6495,155.489,151.857,273
03/26/2021,152.6015,66258480,152.203,152.833,149.8,274
03/29/2021,153.7865,54919360,152.772,154.5625,151.4223,275
03/30/2021,152.7645,46752060,153.5005,153.65,151.7,276
03/31/2021,154.704,61877920,153.203,155.9665,153.125,277
04/01/2021,158.05,58806360,155.897,158.122,155.7775,278
04/05/2021,161.3365,66697640,158.65,161.7978,158.062,279
04/06/2021,161.191,50756180,161.1875,162.3655,160.852,280
04/07/2021,163.9695,66924540,161.69,165.1806,161.1825,281
04/08/2021,164.965,56241800,165.545,166.225,164.6,282
04/09/2021,168.61,86829460,165.235,168.61,164.445,283
04/12/2021,168.9695,65635960,167.7605,169.752,167.5575,284
04/13/2021,170,66316740,170.0423,171.6,169.7815,285
04/14/2021,166.65,62904080,170.202,170.2065,166.3,286
04/15/2021,168.9545,64671600,168.55,169.85,167.6,287
04/16/2021,169.972,63720980,169,170.34,167.7795,288
04/19/2021,168.6005,54508100,169.5165,171.7967,168.008,289
04/20/2021,166.7345,52460640,168.68,169.1495,165.8,290
04/21/2021,168.101,44223320,165.8,168.143,165.1903,291
04/22/2021,165.452,51611800,168.584,168.6435,165.0725,292
04/23/2021,167.044,63933040,165.955,168.75,165.425,293
04/26/2021,170.45,97614160,167.4,171.4225,166.547,294
04/27/2021,170.8715,76542800,172.1735,173,169.9005,295
04/28/2021,172.925,92637680,171.74,174.494,171.25,296
04/29/2021,173.5655,153647620,175.2549,175.7223,171.75,297
04/30/2021,173.371,140186920,176.256,177.7,173.125,298
05/03/2021,169.3245,117510600,174.2365,174.3323,168.6351,299
05/04/2021,165.5935,108788980,167.8095,168.3988,163.6065,300
05/05/2021,163.527,74226160,166.9428,167.7348,163.218,301
05/06/2021,165.3185,88953920,163.5,165.72,162.36,302
05/07/2021,164.5805,94205520,165.9545,166.5445,164.4535,303
05/10/2021,159.5245,116772060,164.116,164.15,159.5,304
05/11/2021,161.1955,92395620,156.814,161.9,156.3685,305
05/12/2021,157.597,98728200,159.25,160.397,156.655,306
05/13/2021,158.0735,67137540,159.2735,160.192,156.65,307
05/14/2021,161.145,66500440,159.278,161.443,159.15,308
05/17/2021,163.5195,73711980,162.2965,164.6375,161.7295,309
05/18/2021,161.614,56567820,164.6288,165.6,161.5185,310
05/19/2021,161.59,53594160,159.75,161.7375,159.2,311
05/20/2021,162.384,52663840,162.2202,162.984,161.809,312
05/21/2021,160.154,82097640,162.5,162.8347,159.8505,313
05/24/2021,162.2495,48456260,160.775,162.8975,160.525,314
05/25/2021,162.9525,65222180,163.3335,163.991,160.688,315
05/26/2021,163.258,47679720,163.7296,164.7865,162.9255,316
05/27/2021,161.5055,51223140,162.8,163.0178,161.502,317
05/28/2021,161.1535,46630180,162.1,162.3995,160.985,318
06/01/2021,160.9325,48600900,162.1748,162.549,160.453,319
06/02/2021,161.6995,40290480,161.155,161.75,160.4,320
06/03/2021,159.3505,47965860,160.2115,160.7218,159.2015,321
06/04/2021,160.311,44994980,160.6,161.05,159.9405,322
06/07/2021,159.9005,44315120,159.8665,160.4,158.61,323
06/08/2021,163.2055,68334600,161.1305,163.9766,160.9005,324
